name,rating,about,cuisines,preferences,features,entitas_lokasi,entitas_jenis_makanan,entitas_menu,entitas_preferensi,entitas_features
Wajan Sister cafe,4.5,"We Just open a New style of Wajan Cafe that as we opened before, Let Join US. One touch with a million taste.","['Asian', 'Indonesian']","['indonesian food', 'dishes']","['Seating', 'Serves Alcohol', 'Table Service', 'Takeout', 'Wheelchair Accessible']",Pemenang,['Asian'],[],"['indonesian food', 'dishes']","['Seating', 'Serves Alcohol', 'Table Service', 'Takeout', 'Wheelchair Accessible']"
Warung Buati,4.5,Seating,"['Asian', 'Indonesian']","['urap urap', 'local food', 'indonesia']","['Seating', 'Table Service', 'Takeout']",Pemenang,['Asian'],[],"['urap urap', 'local food', 'indonesia']","['Seating', 'Table Service', 'Takeout']"
Juice and Booze Bar,5.0,The Juice and Booze bar is an uniqe place in center of Kuta Lombok on the tree top. Come and enjoy the best selection of drinks in a different dimension...Drink and Dine on the tree top,"['Bar', 'Pub', 'Gastropub']",[],"['Outdoor Seating', 'Seating', 'Serves Alcohol', 'Table Service']",Lombok,['Other'],[],[],"['Outdoor Seating', 'Seating', 'Serves Alcohol', 'Table Service']"
Aura Lounge & Bar Lombok,4.5,"Lombok's premium dining venue with unparalleled views over the Indian Ocean. Offering breakfast & all day dining, degustation menus and catering for all private events. Bookings essential.","['Seafood', 'International', 'Asian', 'Indonesian']","['kuta beach', 'lombok', 'resort', 'diners', 'driver']","['Free Wifi', 'Full Bar', 'Mastercard', 'Outdoor Seating', 'Parking Available', 'Reservations', 'Seating', 'Serves Alcohol', 'Street Parking', 'Table Service', 'Visa', 'Wine and Beer']",Lombok,['Asian'],['Seafood'],"['kuta beach', 'lombok', 'resort', 'diners', 'driver']","['Free Wifi', 'Full Bar', 'Mastercard', 'Outdoor Seating', 'Parking Available', 'Reservations', 'Seating', 'Serves Alcohol', 'Street Parking', 'Table Service', 'Visa', 'Wine and Beer']"
Scallywags Seafood Bar & Grill,4.0,"Scallywags restaurant has become a favorite for locals and tourist alike. Food is shipped in daily, with organic greens from Bali. The beautiful island location and the freshest food on the island makes it a great place for breakfast, lunch, sunset, dinner and party nights. Scallywags is the original and the best place to enjoy our nightly BBQ, starting at 6pm. Guests can choose from a large range of sashimi grade fish and Australian imported steaks, to name a few. A complimentary salad bar is included for all BBQ items. Not hungry? Our trained bartenders can whip you up an amazing refreshing cocktail for you to enjoy while soaking up the views over the ocean.","['Seafood', 'Barbecue', 'Asian']","['seafood', 'salad', 'prawns', 'steak', 'butterfish', 'tuna', 'fresh fish', 'gili t', 'ate here', 'gili air', 'during our stay', 'beach front', 'garlic butter', 'all you can eat', 'island', 'bbq', 'sand']","['Accepts Credit Cards', 'Beach', 'Buffet', 'Free Wifi', 'Full Bar', 'Highchairs Available', 'Mastercard', 'Seating', 'Serves Alcohol', 'Table Service', 'Takeout', 'Visa', 'Waterfront', 'Wheelchair Accessible']",Gili Trawangan,"['Asian', 'Western']","['Seafood', 'Barbecue']","['seafood', 'salad', 'prawns', 'steak', 'butterfish', 'tuna', 'fresh fish', 'gili t', 'ate here', 'gili air', 'during our stay', 'beach front', 'garlic butter', 'all you can eat', 'island', 'bbq', 'sand']","['Accepts Credit Cards', 'Beach', 'Buffet', 'Free Wifi', 'Full Bar', 'Highchairs Available', 'Mastercard', 'Seating', 'Serves Alcohol', 'Table Service', 'Takeout', 'Visa', 'Waterfront', 'Wheelchair Accessible']"
Kayangan Restaurant,5.0,"Located within the stunning Holiday Resort Lombok, Kayangan Restaurant offers a sophisticated dining experience featuring a diverse menu. From fresh seafood and sizzling grills to traditional Indonesian dishes, Western favorites, and Chinese-inspired flavors, there's something to satisfy every palate. Enjoy an elegant a la carte selection or indulge in a bountiful buffet, all complemented by live entertainment. Whether you're planning a family gathering, a romantic dinner for two, or a festive meal with friends, Kayangan Restaurant is the perfect setting. Located just steps from the serene Mangsit Beach, this venue boasts breathtaking views of Mount Agung, making it an ideal spot to watch the sunset. Surrounded by lush tropical gardens and a stunning outdoor swimming pool, the ambiance is as unforgettable as the cuisine. Kayangan Restaurant promises a memorable dining experience, where every meal is an opportunity to savor","['Chinese', 'Pizza', 'Seafood', 'International', 'Indonesian']",['taste'],"['Accepts Credit Cards', 'American Express', 'Beach', 'Family style', 'Free Wifi', 'Full Bar', 'Mastercard', 'Outdoor Seating', 'Parking Available', 'Reservations', 'Seating', 'Serves Alcohol', 'Table Service', 'Takeout', 'Visa', 'Waterfront', 'Wine and Beer']",Senggigi,"['Asian', 'Western']","['Pizza', 'Seafood']",['taste'],"['Accepts Credit Cards', 'American Express', 'Beach', 'Family style', 'Free Wifi', 'Full Bar', 'Mastercard', 'Outdoor Seating', 'Parking Available', 'Reservations', 'Seating', 'Serves Alcohol', 'Table Service', 'Takeout', 'Visa', 'Waterfront', 'Wine and Beer']"
Biba Beach Cafe - Ristorante Italiano,4.0,"Biba Beach Cafe' has won for 5 consecutive years the Certificate of Excellence on Tripadvisor. Biba Beach is a special and relaxing Italian Restaurant in front of the sea. Specialized in italian pizza, pasta, homemade ravioli and gnocchi, we also offer Indonesian foods. Our famous italian dessert, Tiramisu, is also made everyday.","['Italian', 'International', 'Mediterranean', 'European']",[],"['Free Wifi', 'Full Bar', 'Outdoor Seating', 'Reservations', 'Seating', 'Serves Alcohol', 'Table Service']",Pemenang,['Western'],[],[],"['Free Wifi', 'Full Bar', 'Outdoor Seating', 'Reservations', 'Seating', 'Serves Alcohol', 'Table Service']"
Camilla Beach Club,4.5,"If you are at Gili Air to experience the island’s grassroots level life and calmness then Camilla beach club is the coolest place to hang out. Located in the north part of Gili Air, facing the sunset, with easy connectivity to beaches and tourist spots, this is the best place to hang out for a meal or just a brunch. We offer a wide range of cuisines and drinks to choose from. The ambiance, taste, and hospitality would make you comfortable and we strive to make your holiday the most memorable one for your lifetime. We are located at North Lombok regency area to welcome you for a serene dining experience. At Camilla beach club you can experience fresh food, serene music, clean environment, refreshing drinks and proximity to the Bintang beach. It is one of the finest clubs in Gili Air, Indonesia and you can get to taste authentic local and international dishes at our restaurant. Here you can relax under the sun and spend some quality time with your loved ones in our","['Seafood', 'International', 'Sushi', 'Grill']",[],"['Buffet', 'Digital Payments', 'Free off-street parking', 'Free Wifi', 'Full Bar', 'Outdoor Seating', 'Reservations', 'Seating', 'Serves Alcohol', 'Street Parking', 'Table Service', 'Wine and Beer']",Pemenang,['Asian'],"['Seafood', 'Sushi', 'Grill']",[],"['Buffet', 'Digital Payments', 'Free off-street parking', 'Free Wifi', 'Full Bar', 'Outdoor Seating', 'Reservations', 'Seating', 'Serves Alcohol', 'Street Parking', 'Table Service', 'Wine and Beer']"
The Office Bar and Restaurant,4.0,"Fantastic beach-front location on the bay at Senggigi, overlooking the local fishing boats. Views of south-west Lombok, Nusa Penida and Bali. Friendly staff and splendid sunsets. Multi-channel TV and free pool table and WiFi.","['Bar', 'International', 'Asian', 'Indonesian']","['sunset', 'ocean']","['Beach', 'Free Wifi', 'Full Bar', 'Outdoor Seating', 'Reservations', 'Seating', 'Serves Alcohol', 'Table Service', 'Television', 'Waterfront', 'Wheelchair Accessible']",Senggigi,['Asian'],[],"['sunset', 'ocean']","['Beach', 'Free Wifi', 'Full Bar', 'Outdoor Seating', 'Reservations', 'Seating', 'Serves Alcohol', 'Table Service', 'Television', 'Waterfront', 'Wheelchair Accessible']"
Malibu Beach Club,4.0,A beach club offering gourmet food such as burgers and local food. We create an inviting and welcoming ambience for you to soak in all the good vibes. An ideal destination for friends and families spending quality time together on a holiday or couple watching a beautiful sunset together.,['Bar'],"['burger', 'chicken', 'gili t', 'bean bags', 'amazing place', 'gets busy', 'perfect sunset', 'great place to spend the day', 'chill', 'island', 'beach', 'beanbags', 'beds']","['Accepts Credit Cards', 'Beach', 'Free Wifi', 'Full Bar', 'Live Music', 'Mastercard', 'Outdoor Seating', 'Parking Available', 'Seating', 'Serves Alcohol', 'Sports bars', 'Table Service', 'Visa', 'Waterfront', 'Wine and Beer']",Gili Trawangan,['Other'],[],"['burger', 'chicken', 'gili t', 'bean bags', 'amazing place', 'gets busy', 'perfect sunset', 'great place to spend the day', 'chill', 'island', 'beach', 'beanbags', 'beds']","['Accepts Credit Cards', 'Beach', 'Free Wifi', 'Full Bar', 'Live Music', 'Mastercard', 'Outdoor Seating', 'Parking Available', 'Seating', 'Serves Alcohol', 'Sports bars', 'Table Service', 'Visa', 'Waterfront', 'Wine and Beer']"
